Time: 0.10580851000000001, Heading: 0.0, ActualHeading: 8.241686669619347E-4, CurrentVelo: 0.6795814004709642, VeloCommand: 35.950111762941305, DesiredVelo: 28.0, LateralVelo: -0.020367163723085124
Time: 0.107026511, Heading: 0.0, ActualHeading: 8.241686669619347E-4, CurrentVelo: 0.6795814004709642, VeloCommand: 36.10197060207998, DesiredVelo: 28.0, LateralVelo: -0.020367163723085124
Time: 0.108168969, Heading: 0.0, ActualHeading: 8.241686669619347E-4, CurrentVelo: 0.6795814004709642, VeloCommand: 36.24441083459595, DesiredVelo: 28.0, LateralVelo: -0.020367163723085124
Time: 0.10922538600000001, Heading: 0.0, ActualHeading: 8.241686669619347E-4, CurrentVelo: 0.6795814004709642, VeloCommand: 36.376123582997934, DesiredVelo: 28.0, LateralVelo: -0.020367163723085124
Time: 0.110451261, Heading: 0.0, ActualHeading: 8.241686669619347E-4, CurrentVelo: 0.6795814004709642, VeloCommand: 36.528964142594454, DesiredVelo: 28.0, LateralVelo: -0.020367163723085124
Time: 0.111696678, Heading: 0.0, ActualHeading: 0.0011009675140638703, CurrentVelo: 0.6795814004709642, VeloCommand: 36.68422667932161, DesiredVelo: 28.0, LateralVelo: -0.020367163723085124
Time: 0.11287909500000001, Heading: 0.0, ActualHeading: 0.0011009675140638703, CurrentVelo: 0.6795814004709642, VeloCommand: 36.83164891063024, DesiredVelo: 28.0, LateralVelo: 0.1164791717036158
Time: 0.11401747000000001, Heading: 0.0, ActualHeading: -6.847312643536551E-4, CurrentVelo: 1.4987517505276795, VeloCommand: 36.83302790508075, DesiredVelo: 28.0, LateralVelo: 0.1164791717036158
Time: 0.11915722000000002, Heading: 0.0, ActualHeading: -6.847312643536551E-4, CurrentVelo: 1.4987517505276795, VeloCommand: 37.47384556497776, DesiredVelo: 28.0, LateralVelo: 0.1164791717036158
Time: 0.12044638699999999, Heading: 0.0, ActualHeading: -6.847312643536551E-4, CurrentVelo: 1.4987517505276795, VeloCommand: 37.63457730877005, DesiredVelo: 28.0, LateralVelo: -3.0116201958936974
Time: 0.12152934500000001, Heading: 0.0, ActualHeading: -0.0019209842647965572, CurrentVelo: 6.236555454504072, VeloCommand: 37.57103781899984, DesiredVelo: 28.0, LateralVelo: -3.0116201958936974
Time: 0.125791179, Heading: 0.0, ActualHeading: -0.0019209842647965572, CurrentVelo: 6.236555454504072, VeloCommand: 38.10239714424686, DesiredVelo: 28.0, LateralVelo: -3.0116201958936974
Time: 0.126873846, Heading: 0.0, ActualHeading: -0.0019209842647965572, CurrentVelo: 6.236555454504072, VeloCommand: 38.23738250655501, DesiredVelo: 28.0, LateralVelo: -3.9092248706416823
Time: 0.127980721, Heading: 0.0, ActualHeading: -0.003054216181869218, CurrentVelo: 8.333756401041954, VeloCommand: 38.13185940591657, DesiredVelo: 28.0, LateralVelo: -3.9092248706416823
Time: 0.13216993, Heading: 0.0, ActualHeading: -0.003054216181869218, CurrentVelo: 8.333756401041954, VeloCommand: 38.65416247836553, DesiredVelo: 28.0, LateralVelo: -3.9092248706416823
Time: 0.133107055, Heading: 0.0, ActualHeading: -0.003054216181869218, CurrentVelo: 8.333756401041954, VeloCommand: 38.771001544348806, DesiredVelo: 28.0, LateralVelo: -1.5898888919348682
Time: 0.134045055, Heading: 0.0, ActualHeading: -0.00429046918231212, CurrentVelo: 9.704903855893432, VeloCommand: 38.60167898475432, DesiredVelo: 28.0, LateralVelo: -1.5898888919348682
Time: 0.134913347, Heading: 0.0, ActualHeading: -0.00429046918231212, CurrentVelo: 9.704903855893432, VeloCommand: 38.70993558414111, DesiredVelo: 28.0, LateralVelo: -1.5898888919348682
Time: 0.138661555, Heading: 0.0, ActualHeading: -0.00429046918231212, CurrentVelo: 9.704903855893432, VeloCommand: 39.17725332042608, DesiredVelo: 28.0, LateralVelo: -1.5898888919348682
Time: 0.139504472, Heading: 0.0, ActualHeading: -0.00429046918231212, CurrentVelo: 9.704903855893432, VeloCommand: 39.28234622463955, DesiredVelo: 28.0, LateralVelo: -1.5898888919348682
Time: 0.14025901400000002, Heading: 0.0, ActualHeading: -0.00429046918231212, CurrentVelo: 9.704903855893432, VeloCommand: 39.37642074221487, DesiredVelo: 28.0, LateralVelo: -1.5898888919348682
Time: 0.141015014, Heading: 0.0, ActualHeading: -0.00429046918231212, CurrentVelo: 9.704903855893432, VeloCommand: 39.470677039792655, DesiredVelo: 28.0, LateralVelo: 0.4260035452280059
